 RT , ねぇねぇみんな聞いて：
そそくさ,俊敏
そそっかしい,ドジっこテヘペロ
そそのかす,お誘いする
そそる,お口からお水がでちゃう
そぞろあるき,ゆるりとお散歩
そぞろ歩き,ゆるりとお散歩
そだいごみ,過去の遺産
そだね,あなたさまの言う通りだわ
そちゃ,イングリッシュブレックファストティー
そっか,そうなのですね
そっきん,セバスチャン
そっくり,頭の先からつま先まで
そっけつ,いさぎよく決断
そっけない,サッパリしてる
そっちのけ,頭の中から追放
そっちょく,お遊びなし
そとづら,作られた一面
そとまわり,お出かけ
そなた,あなたさま
そのうち,お昼寝から目覚めれば
そのはず,運命ではそうなるはず
その場限り,一期一会
そば,パスタ
そふぁ,キングサイズベッド
そぶり,空気感
そぷらの,音域ハイエスト
そむりえ,ワインの番人
そもそも,一回フラットに考えると
そゆこと,ザッツライト！
そゆ事,ザッツライト！
そよかぜ,そよそよな風
そよそよ,静かに、爽やかに
そよ風,そよそよな風
そらおそろしい,胸が不安で苦しい
そらおぼえ,記憶の穴から掘り出し
そらごと,ファンタジー
そらぞらし,一見、立派
そらみみ,なにか聞こえた気がした
そらめ,見間違え
そりがあわない,キモチがすれ違い気味
それそうおう,この心と引き換え
それ相応,この心と引き換え
そわそわ,ドキンドキン
そんくらい,きっとあなたが思っている感じ
そんしょく,ちょっと低い点
そんじゃ,あなたがそうおっしゃるのなら
そんじょそこら,日本各地の
そんだい,堂々
そんだけ,それほどに
そんで,そのような感じで
そんでもって,それに加えて
そんなぁ,もう一回、考え直して
そんなら,そちらがその気なら
そーしゃる,「みんな言ってる」の、みんな
そーしゃるねっとわーく,みんなとおしゃべりする所
そーすがお,お腹いっぱいのお顔
そーっすよ,実はそうなのですよ
そーなの,実はそうなのですよ
そーなんかな,物事には二つの側面があるわ
そーなんだ,あなたを信じるわ
そーなんです,ふむふむです
そーぷらんど,特殊なお風呂
そーやって,ほら、
そーゆーこと,オトナの事情
ぞうか,一生美しいお花
ぞうごん,愛の言葉
ぞうすい,ママのおじや
ぞうり,カジュアルな靴
ぞくあく,ブラボー
ぞくご,フランクな会話表現
ぞくしょう,みんなにおなじみ
ぞくせ,キラキラした世界
ぞくっぽい,ミーハー
ぞっこん,寝ても覚めてもラブ
たいしょう,立派なかた
たおる,汗の救世主
たかびしゃ,気高い
たかをくくる,お見くびりになる
たががゆるむ,ゆったりと生きる
たがめおんな,人から貢がれる女性
たくしー,運び屋
たけのこ,にょきにょき♪
たこ,おタコさん
たごさく,自然豊かな地域出身者
たそがれ,ロマンチックな時
ただ,お財布要らず
ただしいけめんにかぎる,人を選ぶ話
ただしイケメンに限る,人を選ぶ話
ただではすまない,覚悟しておきましょう
ただならない,尋常ではない
たちうちできない,リスペクトしている
たちばっく,♡♡♡♡♡
たつせがない,参加する
たなからぼたもち,空からキャンディー
たなにあげる,他人が原因だと思う
たにんぎょうぎ,礼儀正しいふるまい
たひる,ちょっとご乱心する
たらこくちびる,セクシーなクチビル
たらこクチビル,セクシーなクチビル
たれこみ,世界に秘密を共有
たわけ,素晴らしい
たわごと,美しい夢の言葉
たんかをきる,褒める
たんしば,wがひとつしかない笑い
だぁしえりいぇす!!,ドア閉まります。
だいがく,楽園
だいこんあし,美脚
だいこんやくしゃ,名俳優
だいしょうり,とってもビクトリー
だいじょうぶじゃない、もんだいだ,大いに問題がある
だいへん,なりすまし出席
だいべん,香り高い人間の制作物
だきあう,愛し合う
だく,愛を確かめる
ださい,時代が変わればかっこいい
だせい,なんとなく
だだをこねる,希望を言ってみる
だっさい,一周してカッコイイ
だてますく,元気なのにマスク
だてら,なのに
だてる,現役復帰する
だてマスク,元気なのにマスク
だふや,フトドキモノ
だまれ,少し静かにしてくださる？
だめ,素晴らしい
だるい,やる気に満ちあふれている
だるま,おじさま
だれうま,どなたがうまいこと言えとおっしゃった
だれだよ,貴方だよ♡
だれでもだいすき,博愛主義者
だれとく,みんなハッピー
だんしゃり,捨てることで自分を見つめる
ちあがーる,元気をつくるガール
ちぇす,将棋の西洋版
ちぇっ,うふふ
ちぇっくめいと,次で貴方も終わりよ
ちぇりーがーる,未知の世界が広がる女子
ちぇりーぼーい,未知の世界が広がる男性
ちかちか,目の前に億千の星が輝く
ちかみち,秘密のルート
ちかん,逮捕モノ
ちがいほうけん,バリアが効く
ちきしょー,もうっ知らないっ
ちきる,仕切り直す
ちきん,慎重な性格
ちきんれーす,どんぐりさん達の戦い
ちくしょう,ラブリー♡
ちくった,告白した
ちくび,女体の銀河
ちくり,秘密のお手紙出す
ちくる,秘密のお手紙書く
ちくるい,おおきい動物
ちぐはぐ,遊びゴコロあふれる
ちこく,夢のなかに長めに滞在
ちしお,明日への情熱
ちしょう,他人
ちじょく,悪いドキドキ
ちじん,知人
ちせつ,芸術的
ちちうえ,お父様
ちちのひ,お父さんありがとうの日
ちちばなれ,大人へ踏出
ちちんぷいぷい,解放せよ！解放せよ！
ちっとも,思ったよりずっと
ちっぷ,心ばかり
ちっぽけ,大事なのは中身
ちのうみ,ワインの海
ちばりーひるず,千葉のワンダーランド
ちび,伸びしろがある人
ちぶさ,やさしいふくらみ
ちへど,マーライオン
ちまなこ,真っ赤なカラコン
ちむにー,chimney
ちめいしょう,ネバーギブアップ！
ちめいてき,オーマイゴッドな
ちゃいどる,天才子役
ちゃうわ,違います
ちゃお,こんにちは！
ちゃかす,ヒューヒューする
ちゃきちゃき,キラキラ
ちゃくうた,着信時の音楽
ちゃくしょう,新たな命の誕生
ちゃくしんきょひ,ごめんなさい
ちゃくめろ,着信時のメロディー
ちゃこーるぐれー,限りなく黒に近い白
ちゃっきょ,ごめんなさい
ちゃっと,おしゃべり
ちゃのみばなし,ガールズトーク
ちゃぱつ,おしゃれヘア
ちゃぶだい,ダイニングテーブル
ちゃぶ台,ダイニングテーブル
ちゃらい,愛情が多い
ちゃらお,おモテになる方
ちゃらちゃら,キャピキャピ
ちゃらりーまん,遊び心を忘れない方
ちゃらんぽらん,風が吹くまま
ちゃり,カボチャの馬車
ちゃんねー,お姉様
ちゃんばら,男の決戦
ちゃんぽん,クリームパスタ
ちゃーしゅー,ジビエ
ちゃーはん,様々な具と共に油で炒めたお米
ちやほや,お姫様扱い
ちゅうきん,お巡りさんから「メッ！」
ちゅうしょく,ランランランチ♪
ちゅうとはんぱ,ここから巻き返せる状態
ちゅうにびょう,青春の中に生存
ちゅうぶらりん,無重力
ちゅうぼう,ジェントルマン
ちゅうもん,セバスチャンにお願い
ちゅうりゅうかいきゅう,貴族
ちゅっ,チュッ♡♡♡
ちゅーか,というよりかはね
ちゅーぷり,お母さんに見せられない写真
ちょ、,このまま帰せないわ、
ちょいちょい,たびたび頻繁に
ちょいと,ほんのちょっと
ちょうあい,愛のカタマリを投入
ちょうけし,頭からデリート
ちょうしこいてん,愛をばらまく
ちょうのうりょく,魔法
ちょうほんにん,It's me.
ちょくちょく,たびたび頻繁に
ちょくるす,生存が確認できない
ちょこまか,こまやかに
ちょっかんてきに,ビビビッと
ちょっとやそっと,生半可では
ちょっぱや,超 very 早い
ちょびひげ,(・◞◟​・)
ちょべりぐ,超 very good
ちょべりば,超 very bad
ちょべりぶ,超 very blue
ちょめちょめ,大人のお遊び
ちょりーす,ご機嫌いかが？
ちょろい,おちゃのこサイサイ
ちょろまかす,見事に隠蔽する
ちょんぼ,虚しいあがり
ちらつく,目を閉じると現れる
ちらほら,時おり
ちらみ,横目で拝見
ちらりずむ,ちょっとだけオープン
ちんげ,絹の糸
ちんげ,絹の糸
ちんこ,遊園地
ちんたら,ほんわか
ちんちくりん,かわい子ちゃん
ちんちん,メリーゴーランド
ちんぴら,白馬の王子
ちんぷんかんぷん,頭に獅子座流星群
ちんぽ,♡♡♡
ちんまり,可愛らしく
ちーかま,開封困難なおつまみ
ちーく,ほっぺに咲く薔薇
ちーまま,女将
ちーまー,貴族たち
ついったらー,たくさんつぶやく方
ついったー,おしゃべり広場
ついてない,運勢を温存してる
ついのみ,つぶやき飲み会
ついーと,愛のつぶやき
つかえね,非常に役立つ
つかれた,頑張った
つきあう,愛の約束をする
つきまとう,金魚のフンになりきる
つっけんどん,ニコニコ
つつもたせ,やっちゃいけないこと♡
つぶしがきかない,専門家である
つべいうな,リクエストが多いのね
つべこべ,たくさんのリクエスト
つべこべ言うな,リクエストが多いのね
つべる,動画を楽しむ
つまらない,退屈なのは自分のせい
つまらん,平常心が保たれている
つまんない,平常心が保たれている
つまんね,ドキドキするね
つみ,愛情
つむじをまげる,ユニークな意見を持つ
つむじを曲げる,ユニークな意見を持つ
つらあて,わざとないじわる
つらい,順風満帆ではない
つらたん,空を見上げたい
つらにくい,顔を見るだけでも幸せ
つらよごし,立派な人
つり,巧みな嘘
つれ,人生を寄り添う方
つんでれ,メリハリのある愛情
つーきにすと,運動と通勤を兼ねる人
つーぶろ,真のオシャレ髪型
てあか,消しかす
てあたりしだい,思い立ったが
てあたりしだい,色々考えて
てあれ,家事の勲章
てぃーちゃー,尊敬すべき師
てぃーぴーおー,社会を保つ秩序
てぃーんえいじゃー,未来ある若者たち
ていしせい,謙虚な気持ち
ていしゅかんぱく,実は奥さん想い
ていじげん,二次元
ていたらく,なんたる有様
ていっぱい,精いっぱい
ていのう,頭脳派
ていへん,ひっくり返せば頂点
ていよく,誰も傷つくことなく
ておくれ,まだここからやり直せる
ておち,ちょっとしたミス
てかげん,甘噛み
てかさ,By the way
てかてか,まばゆく発色
てがき,ハンドメイド
てきとー,熟考の末
てきぱき,魔法のように
てきびしい,愛情あふれる
てきめん,予想外にばっちり
てぎれきん,さよならの挨拶
てくにしゃん,その道のプロ
てくのぽっぷ,近未来ビート
てぐすね,たっぷりした準備
てぐせ,アイデンティティ
てこいれ,回復への調整
てこき,♡♡♡
てこずる,やり甲斐を感じる
てごま,親友
てさぐり,霧を晴れやかに
てつこ,鉄道が彼氏の子
てまえみそ,自慢しちゃってもいい？
てまん,♡♡♡
てめぇ,マイスウィートハニー
てめえ,マイスウィートダーリン
てれか,愛を囁いたカード
てれほんかーど,絶滅危惧種カード
てろ,攻撃
てんてこまい,てんてこまいまい
てんねんぼけ,独自の世界に生きる
てんぱ,ナチュラルウェーブ
てんぱる,ドッキドキする
てんやわんや,あっちに行ったりこっちに行ったり
てーぷれこーだー,録音再生機器
であるく,アクティブに生きる
でぃすかっしょん,実のりある話し合い
でぃすった,悪く言った
でぃする,褒め称える
でぃれくたー,船長さん
でおどらんと,乙女のエチケット
でかい,大きい
でかでか,とっても大胆
でかめ,ぱっちりおめめ
できあい,特別な愛し方を
できごころ,もう一人の私の気持ち
できそこない,傑作
できれーす,見えざる手によるレース
でくのぼう,落ち着いた人
でくわす,運命的に出会う
でこっぱち,チャーミングおでこ
でこでん,お姫様の電話
でことら,キラキラのトラック
でこべん,お姫様のお弁当
でこぼこ,メリハリある
でこらー,指先の魔法使い
でこる,オンリーワンのものにする
でし,恋人の次
でしゃばり,主張するお方
でしゃばる,率先して取りくむ
でしゃばるな,もっと前にすすめ！
ですまっち,白黒つける戦い
でずっぱり,人気がありすぎ
でぱが,百貨店勤務女性
でぱちか,夢の空間
でふぉ,立ち返る状態
でぶ,ラブリー
でぶす,絶世のお方
でぶせん,特殊な専門家
でべそ,美人
でべろっぱー,ドリーマー
でま,火の無いところにある煙
でまち,健気な待ち
でもどり,アンコール
でーと,かけがえのない時間
とうしろ,初心者
とうふめんたる,儚い精神力
とうへんぼく,わからずやさん♪
ときとば,時と場合による
とっちめる,おしおきする
とっぱする,新しいステージに進む
とっぴょうしもない,思ってもいなかった
とつまち,正座で電話待ち
とつる,ラブコールする
とてつもない,わたしの想像を越える
とどのつまり,要するに
とばっちり,体当たり
とほうにくれる,たいそう困惑する
とほうもない,すさまじい規模の
とまと,おトマト
ともちょこ,友情によるチョコ交換
とりえがない,万能
とりしまりやく,会社を背負うヒーロー
とりつくしまがない,手がかりが見つかる
とりつく島がない,手がかりが見つかる
とりま,とりあえず、まあ
とろい,のんびり
とんきょう,ピョンピョン
とんきん,東京
とんずら,出発
とんちき,天然さん
とんちゃくない,悠然となさる
とんちんかん,非常に興味深い
とんでも,とんでもございません
とんでもない,とんでもございません
とんま,のんびり屋さん
どあほ,とっても頭がいい
どうかしてるぜっ！,理解が追いつかないわっ！
どうてい,未知の世界が広がっている人
どうもり,どうぶつのもり
どえぬ,びっくりするほど普通の方
どえらい,たいそう
どかた,青空の元でお仕事
どきゅん,ピュア
どきゅんねーむ,斬新で画期的なネーム
どぎつい,すこしはげしい
どぎもをぬかれた,驚かされた
どくお,独り身の王子様
どくしん,貴族
どくぷり,♡♡♡
どくも,キラキラ素人モデル
どけち,節約上手
どげざ,誠意いっぱいの謝罪
どこのうまのほね,ミステリアスな方
どこの馬の骨,ミステリアスな方
どこふくかぜ,他人の評判を気にしない様子
どこふく風,他人の評判を気にしない様子
どこんじょう,秘めたるパワー
どざ,WINDOWS ユーザー
どしがたい,分かってもらうのが難しい
どじ,おちゃめさん
どすけべ,人並み外れてピュア
どすこい,ご機嫌いかが？
どたきゃん,心苦しい欠席
どちくしょう,とってもすてき
どついたろか,そっと押してもいいかしら
どてっぱら,麗しいお腹
どのつらさげて,どのようなお顔をなさって
どの面下げて,どのようなお顔をなさって
どびんぼう,質素
どふさ,非常にフサフサ
どぶ,オアシス
どやがお,笑顔
どやがお,綺麗なお顔
どやす,さえずる
どや顔,笑顔
どゆこと！？,どういうことなのかしら？
どるおた,アイドルを愛する方々
どろどろ,サラサラ
どろぼう,なにかと奪う人
どろぼうねこ,恋の勝者
どろをがく,吐息を吐く
どろん,バイバイっ
どんはんきんドブ,どんなお考えですか、お金を側溝に捨てる気？
どんぶりかんじょう,おおらかなビジネス
どんまい,Don`t mind
どん判金ドブ,どんなお考えですか、お金を側溝に捨てる気？
どケチ,節約上手
どーぴんぐ,内緒でウコンの力を摂取
ど根性,秘めたるパワー
ど畜生,とってもすてき
ど突いたろか,そっと押してもいいかしら
ど貧乏,質素
なあなあ,ねぇねぇ
ないがしろ,記憶の彼方にアウェイ
ないしゅっけつ,生きてる証
ないしょく,もうひとつのお仕事
ないす,近年稀に見る良い
ないてい,社会との約束
ないとくらぶ,夜の歓楽スポット
ないねん,無いのよ
ないみつ,ここだけのひ・み・つ♡
ないものねだり,ぜいたく
ないーぶ,ピュア
なう,の、ところよ
なうい,最新だ
なおざり,等閑
なかおれはっと,オシャレ番長帽子
なかせ,涙が出ちゃう…
なかたがい,本当は仲良くしたいとお願い
なかだるみ,ちょっとだけ休憩
なかなおり,愛の再確認
なかなか,子供の頃思い描いたようには
なかまはずれ,独立
なかゆびたてる,愛してるのサイン
ながされやすい,好奇心旺盛な
ながちょうば,有意義な時間
ながったらしい,内容が豊かな
ながつづきしない,一生を共にできない
ながながと,ご丁寧に
ながらぞく,器用
ながら族,器用
ながれもの,夢を旅する方
なきあかした,枕を涙でジメジメにした
なきおとし,人の善意に頼るお願い
なきがお,笑顔
なきじゃくる,悲しみをあらわにする
なきじょうご,演技派
なきっつらにはち,笑顔に蝶々
なきつく,一生のお願いを何度もする
なきにしもあらず,あると思うの
なきねいり,ベッドで悲しみにくれる
なきべそ,(；ω；)
なきわかれ,また会いましょうと約束
なぐさめる,元気にする
なぐりこみ,抱きかかえ
なぐりたい,抱きしめたい
なぐる,チューする
なぐる,ハグする
なけなし,逆に豊富
なげきっす,愛情の放出
なげだす,抱きかかえる
なげやり,投げ槍
なごりおしい,ずっと一緒にいたいと願う
なさけない,誇り高い
なざし,私だけ特別
なしくずし,運命任せ
なし崩し,運命任せ
なじみづらい,まだうまくお話しできない
なじみない,文化にない
なじめない,人見知りが発動してる
なじる,頭ナデナデする
なすりつける,パスする
なっしんぐ,無いかもしれない
なつい,ノスタルジーを感じる
ななころびやおき,ダルマさん
ななし,名前はまだ無い
ななひかり,有利な運命の持ち主
なにいうとる,え？聞こえなかったわ？
なにくそ,エイ、エイ、おー！
なにげに,今まで秘密にしてたけど
なにさま,お星様
なにとぞ,心の底から
なにとて,どうしてなの？
なにやつ,かわいいお方♡
なにやら,おやおや
なにより,とってもいいわね
なに言うとる,え？聞こえなかったわ？
なぶる,男女男る
なべぶぎょう,お鍋の王様
なぽりたん,オレンジパスタ
なまあたたかい,ヤケドしそうにホット
なまいき,意見をはっきり言う強さ
なまかじり,いただきます
なまがわき,コインランドリー&#x3078GO;
なまくび,笑顔の化石
なまぐさい,その場から離れたい
なまけもの,がんばり屋さん
なまごろし,ひと思いにされない
なまじっか,うっすらと
なまなましい,情景が目に浮かんでしまう
なまぬるい,もう少しで完璧
なまはんか,どっちつかずな
なまへんじ,愛の挨拶
なまめかしい,夢中になってしまう
なまやさしい,世の中甘くない
なまり,ランゲージ
なみだ,笑顔に変わるための一歩
なみだぐましい,涙なしでは語れない
なみだもろい,感受性が豊か
なめくじ,雨の日の妖精
なめてんの,仲良くしたいの
なめんじゃねー,仲良くしてもいー
なめんな,仲良くして
なやみのたね,いつか大きく咲く花
なよなよ,しなやかに
ならずもの,ある意味、大物
ならず者,ある意味、大物
なりあがり,急な成功者
なりきん,急なお金持ち
なりさがる,謙遜しすぎる
なりすまし,分身の術
なりすます,上手に変身する
なりたりこん,運命の相手探し、再開
なりふりかまわず,自分だけを信じて
なりゆき,運命
なるしすと,自分を大切にできる方
なるはや,ゆっくり
なるへそ,なるほど
なれあい,おままごとごっこ
なれそめ,運命のはじまり
なれっこ,玄人
なれなれしい,仲良くしてくれる
なれのはて,おしまい、おしまい♪
なんくせ,批判めいた意見
なんしょく,虹色
なんじゃく,ちょっと難しいわねって顔
なんせんす,ナイスセンス
なんだかなあ,それでも明日があるよね
なんだったのか,忘却の彼方へ
なんちゃって,ホントじゃない
なんつって,てへへ☆
なんでやねん,どうしてなのかしら
なんとやら,…えーと、思い出せないわ
なんなら,貴方が喜ぶのならば
なんなんだ,意図が分かりかねるわ
なんのその,私の辞書にはない
なんばーわん,トップオブザワールド
なんぱ,交際の申込み
なんぱおとこ,愛があふれて止まらない方
なんぱやろう,愛があふれて止まらない方
なんぼ,まぁまぁ、お茶でも
なんやねん,好き好きよ
なーす,白衣の天使
なーばす,ナーヴァス
にえかえる,穏やかに過ごす
にえきらない,曖昧さがよい
にえたつ,穏やかでいる
にく,愛してるお肉
にくい,尊敬している
にくしみ,愛情
にくたらしい,お肉食べたい
にくまれぐち,褒め言葉
にくむ,尊敬する
にくらしい,肉らしい
にごう,サブ・パートナー
にじ,七色の橋
にじゅうじんかく,エンターテイナー
にじゅっせいきちゅうねん,二十代の会合にいらっしゃる方
にてくおうとやいてくおうと,貴女のお好きになさって
にのきん,読書に勤しむ方
にのくがつげない,お口がふさがらない
にべもない,親切だ
にほん,素晴らしい国、日本
にほんごでおけー,日本語でおしゃべりしましょ♪
にょう,じょじょじょ♪
にわか,新人さん
ぬいぐるみ,子供の頃の恋人
ぬかよろこび,フライング喜び
ぬかりない,さすが！！
ぬか喜び,フライング喜び
ぬきあし,サイレント歩行
ぬきうち,真実が見える
ぬくぬく,ほっこり
ぬけがけ,お早い行動
ぬけだし,ちょっと失礼
ぬけぬけと,無邪気な様子で
ぬけみち,秘密の裏道
ぬすっと,お巡りさんのお世話になる人
ぬすみぎき,ご清聴
ぬすみぐい,味見
ぬすみよみ,拝見
ぬらりくらり,ゆっくりほっこり
ぬりたくって,たくさんぬりぬり
ぬるっと,それはそれは静かに
ぬれおちば,ダーリン
ぬれぎぬ,渇いた洋服
ぬれねずみ,仔猫ちゃん
ぬーど,生まれたままの姿
ぬーん,こんにちは！お元気？
ねえさん,お姉様
ねおにーと,奇跡の自宅警備員
ねかま,ネットでの性転換
ねがきゃん,後向きなキャンペーン
ねこ,こたつで丸くなる生き物
ねこく,お寝坊で遅刻
ねこばば,頂戴
ねこをかぶる,仮面を纏う
ねこんかつ,ねこカフェで行う婚活
ねずみ,かわいい小動物
ねたばれ,結末流出
ねっとでしんじつ,ネットで真実を把握
ねっとべんけい,多重人格
ねとげ,オンラインゲーム
ねとも,ネットでの親友
ねふれ,ネットでの親友
ねぼすけ,睡眠大好きさん
ねむたい,瞼の幕を降ろしたい
ねらー,ラバー
ねんぐのおさめどき,そろそろお家に帰る時
のいろーぜ,逆にウキウキ
のうがき,自分の売り文句
のうさつ,ノックアウト♡
のうてんき,頭の中が快晴
のうはう,秘密の方法
のうひん,お納めください
のうべん,お話が上手
のきなみ,あれもこれもみんな
のけぞった,ひとりイナバウワー
のけもの,人気者
のけ反った,ひとりイナバウワー
のけ者,人気者
のこくず,金粉
のこった,イエイイエイ！
のこのこと,頑丈な精神で
のさばる,鼻高々になる
のざらし,青空の下に設置
のしあがる,二段飛びして上がる
のしかかる,抱っこする
のし上がる,二段飛びして上がる
のそのそ,マイペースに
のぞき,走り始めた好奇心
のぞむところ,私の本気出しちゃう
のたまう,おっしゃる
のたれじに,永遠にバク転
のたれ死に,永遠にバク転
のちのち,将来
のちほど,一瞬だけさよなら
のっそり,優雅に
のっとる,選手交代する
のっぴきならない,運命に逆らえない
のっぺらぼう,ツルツルのお顔
のっぽ,モデル体型
のどもとすぎれば,人は忘れる生き物だから
ののしる,小声で指摘する
のばなし,気まま
のびなやむ,まだまだこれから行く
のぶとい,華奢な
のほほん,ごゆるりゆるり
のぼせあがる,イケイケになる
のぼせ上がる,イケイケになる
のみあかす,語り明かす
のみかい,大人が仲良くなるための宴
のみさー,酒豪を目指すサークル
のみたおし,お金がお酒に溺死
のみにけーしょん,お酒の力で仲良く
のみねーと,スポットライトに照明
のみのいち,日曜日のパリのお祭り
のみほす,美味しくいただく
のら,由緒ある
のらくら,早寝早起き
のらむすこ,我が家の将軍
のらりくらりと,口笛ふいてスキップしながら
のら息子,我が家の将軍
のりおくれ,時代が先走りし
のりかえ,気分を変え
のりこえる,新しい景色を見る
のりごこち,パッソに乗った感じ
のりにげ,自分勝手な乗り方
のりまわす,自由に操縦する
のるかそるか,のる&#xff1for; そる？
のるま,目標値
のろけ,ラブエピソード
のんけ,non 気
のんだくれ,酒豪
のんのん,違うわ、聞いて
のんべえ,お酒が恋人の人
のんぽり,運命信者
のーぎゃら,お代はキモチ
のーてんき,頭の中が快晴
のーぶら,お胸の実力
のーべるしょう,よく頑張ったで賞
のーまる,正常な様子
のーりあくしょん,恥じらい
はいきんぐ,取り放題天国
はかどる,順調に進む
はかまいらー,歴史上の人物の墓を訪ね歩く人
はがたたない,挑むのが難しい
はきけ,マーライオンの気分
はげ,太陽の光
はげどう,とっても同意
はげる,感動する
はこおし,博愛
はしたない,上品な
はすっぱな,おきゃんな
はすはす,（興奮時の呼吸音）
はずれ,ビンゴ
はずれた,あたった
はだか,一糸まとわぬ姿
はちゅうるいけいだんし,昆虫を彷彿をさせるお方
はったり,度胸
はっぽうびじん,誰にでもフレンドリー
はっぽうふさがり,ひとりでがんばる
はつめん,初めてのメンバー
はながたかい,光栄です
はなげ,チョロリ
はなつまみ,好かれているよう
はなにかける,得意なことがあるようだ
はなをおる,快感！
はぶ,自由な時間
はむ,ピンク色の至宝
はめどり,カメラごっこ
はめをはずす,自由になる
はらがたつ,笑みがこぼれる
はらたつ,おなかがざわざわする
はらにすえかえる,我慢しにくい
はらへった,背に腹が変えられそう
はんたい,賛成
はんばーがー,ピクルス抜きのハンバーガー
はんばーぐ,子どもの大好物
はんめんきょうし,恩師
ばぁか,悔しいけど好き
ばあ,おじゃん
ばいた,レディ
ばいぶ,♡♡♡
ばいぶす,雰囲気
ばか,幸せ者
ばかったー,ツイッター
ばかはっけんき,ツイッター
ばかやろう,素晴らしい人物
ばくはつしろ,消えてなくなってほしいの
ばけのかわがはがれる,正体ジャジャーン！
ばすすきー,バスが好きな人
ばちあたり,当然のご結果
ばちがい,目立ってる
ばっか,幸せ者
ばっくらー,自由人
ばつがわるい,居心地がいい
ばつが悪い,居心地がいい
ばなな,黄色いごちそう
ばばぁ,マダム
ばばあ,マダム
ばらす,お伝えする
ばりきゃり,バリバリ働く女性
ばりぞうごん,麗しい言葉たち
ばるす,ハッピー
ばんぎゃる,ヴィジュアル系バンドのファン
ばんど,音楽集団
ばーか,幸せ者
ばーげんせーる,非常に多いさま
ばーにゃかうだ,強そうな野菜ディップ
ばーろー,愛してるよ
ぱあ,おじゃん
ぱいすらっしゅ,お胸こんにちは
ぱいぱん,♡♡♡♡
ぱくつい,真似したつぶやき
ぱくる,拝借する
ぱっそ,ハイブリッドで磨いた低燃費エンジンで、ガソリン車として燃費ナンバーワンの車
ぱてぃーん,パターン
ぱねぇ,狂気さえ感じる
ぱねまじ,パネルマジック
ぱんきょー,一般教養
ぱんつ,下履き
ひ【ぃ】＊ぃ,きゃ
ひあそび,ヤケド覚悟の恋愛
ひぃぃ,きゃ
ひいき,スペシャルお気に入り
ひいきめにみても,頑張ってあなたに寄り添って考えても
ひいき目に見ても,頑張ってあなたに寄り添って考えても
ひいひい,キャハキャハ
ひえらるきー,先輩後輩
ひかりふぁいばー,通信するガラス細工
ひかりもの,お月様
ひかんてき,現実的
ひがごと,昔話
ひがないちにち,86400秒
ひがみ,遠吠え
ひきうける,喜んで約束する
ひきこもり,自宅警備員
ひきずる,ずっと心に置いてしまう
ひきたてやく,主役
ひきでもの,心をこめた贈り物
ひきとめ,「待って！」って言っ
ひきょう,ちょっとびっくり
ひきょうもの,正直者
ひきわらい,肺から爆笑
ひき笑い,肺から爆笑
ひくひく,小刻みの運動
ひくわ,好きだわ
ひけし,ハッピーエンド
ひけめ,押し目
ひけらかす,皆様にお知らせする
ひこうかい,世の中には秘密
ひこうしき,内緒
ひこくみん,お友達
ひさかたぶり,お久しぶり
ひざこぞう,お膝の坊ちゃん
ひじきまつげ,存在感のあるまつげ
ひじょうしき,それもまた一周すれば常識
ひすてりっく,ファンタスティスト
ひすてりー,ファンタジー
ひそうかん,おうち帰りたい感
ひそひそ,内密に
ひだね,元凶の元
ひっかきまわす,まぜまぜする
ひっこみじあん,モジモジ思考
ひっこんでろ,お眠りになって
ひっぱりだこ,とっても売れっ子
ひつあつ,筆に込めた想い
ひつよういじょうに,念には念を入れて
ひでえ,あんまりよろしくない
ひでん,ひ・み・つ
ひとから,ボイスレッスン
ひときわ,逆らえないほど
ひとぎきわるい,言い方が悪いわ
ひとくせ,一癖とみせかけて二癖
ひとくち,大口
ひとごころ,あなたの♡
ひとごと,私の事
ひとごみ,あなた達みんな
ひとさわがせ,ほっとけない性分
ひとしお,近年稀に見る
ひとしきり,気がお済みになるまで
ひとたらし,非常におモテになる方
ひとつおぼえ,おハコ
ひとつ覚え,おハコ
ひとづかい,ディレクション
ひとづま,奥様
ひとでなし,大天使
ひとなつっこい,すぐに仲良しになる
ひとみしり,モジモジ
ひとりじめ,こっからここまで頂戴
ひとりみ,貴族
ひとりよがり,自分で満足
ひとカラ,ボイスレッスン
ひど【ー】＋い,ひどいこと、言うのね
ひどい,目を背けたい
ひどぉい,一周回ってステキ
ひどーい,一周回ってステキ
ひにく,運命のいたずら
ひにくる,盛り上げる
ひねくれ,恥ずかしがりやさん
ひねくれ者,恥ずかしがり屋さん
ひねむれもの,恥ずかしがり屋さん
ひはん,求愛
ひぼん,天才
ひま,お金より大切な時間がある
ひまじん,お時間ある方
ひまつぶし,時間を湯水のように使用
ひまん,安心感のある体型
ひも,レディーのペット
ひものおんな,麗しきレディ
ひゃあ,きゃあ
ひゃくぱー,世の中に絶対なんてないけど、絶対
ひゃっはー,ご機嫌いかが？
ひゃっぺん,何度でも、何度でも
ひゃっほー,ごきげんうるわしゅう
ひやかし,盛り上がり
ひやかす,その場を盛り上げる
ひやめし,あんまりおいしくないご飯
ひやり,背筋を冷却
ひょ【え】＊え,うふん
ひょいと,爽やかに軽々と
ひょえ,うふん
ひょこひょこ,いっしょけんめい
ひょっとこ,火男
ひょろひょろ,しなやかな肢体
ひらりーまん,まじめな会社員
